CRASH_NUM,Year,latitude,longitude,adt,Alignment,Location type,Occupant,Vehicle type,Driver injury
LA18_180117150443016,2018,30.286237,-89.77932,19500,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180118085536680,2018,30.501184,-90.956134,5400,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180118160347351,2018,29.781457,-90.026606,12200,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180119113914086,2018,30.53494,-92.098068,23000,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180120021714180,2018,30.482255,-90.955221,19000,Straight,Business,Single,Passenger Car,No Injury
LA18_180120034134005,2018,30.489191,-92.85013,2400,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180120125454454,2018,30.394168,-90.089385,27000,Straight,Business,Single,Passenger Car,No Injury
LA18_180121071658354,2018,30.314337,-91.832,8400,Curve,Business,Single,Passenger Car,No Injury
LA18_180122101402206,2018,30.411735,-92.060386,10200,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180122152947770,2018,30.228785,-92.0627,42400,Straight,Business,Single,Suv,No Injury
LA18_180125150445452,2018,31.568326,-93.48306,3600,Straight,Business,Single,Suv,No Injury
LA18_180125162553351,2018,30.51476,-91.026266,15500,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180126130633279,2018,30.630177,-90.187694,9000,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180127040135908,2018,30.276235,-91.905535,8500,Straight,Business,Single,Other,No Injury
LA18_180127052508594,2018,30.241956,-92.268787,3600,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180127183323336,2018,30.036146,-90.237871,51700,Straight,Business,Single,Suv,No Injury
LA18_180128061620655,2018,29.596025,-90.70392,13900,Straight,Business,Two or more,Suv,No Injury
LA18_180128072220809,2018,30.056493,-91.7384,1800,Straight,Business,Single,Suv,No Injury
LA18_180128120800154,2018,30.403301,-91.181135,29200,Curve,Other,Single,Passenger Car,No Injury
LA18_180130052843250,2018,32.398243,-93.759651,14000,Straight,Business,Single,Suv,No Injury
LA18_180130142435330,2018,29.997911,-91.80403,21400,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180130195858766,2018,30.103818,-90.9791,3300,Straight,Residential,Single,Passenger Car,No Injury
LA18_180131091814918,2018,29.928895,-90.049743,8400,Other,Business,Single,Passenger Car,No Injury
LA18_180131132757488,2018,32.549892,-93.629753,19200,Straight,Manufacturing Or Industrial,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180201202429278,2018,30.649364,-91.150228,28300,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180202113218102,2018,30.72669,-90.506807,10300,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180202125305474,2018,30.83009,-90.671129,3400,Straight,Business,Two or more,Passenger Car,No Injury
LA18_180202183333717,2018,30.012496,-90.717132,3600,Straight,Residential,Single,Passenger Car,No Injury
LA18_180207101659983,2018,30.043168,-90.687262,4400,Straight,Residential,Single,Suv,No Injury
LA18_180207101659983,2018,30.043168,-90.687262,4400,Straight,Residential,Single,Passenger Car,No Injury
LA18_180208081253661,2018,30.49083,-90.10077,5900,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180209052132451,2018,32.443425,-93.7203,22400,Straight,Business,Two or more,Other,No Injury
LA18_180209074459302,2018,30.224944,-92.009274,10400,Straight,Business,Two or more,Suv,No Injury
LA18_180209182556864,2018,30.458652,-91.211045,21300,Straight,Business,Single,Passenger Car,No Injury
LA18_180211025651460,2018,32.510063,-92.182127,67700,Curve,Manufacturing Or Industrial,Single,Suv,No Injury
LA18_180211110659413,2018,29.990557,-91.832046,21200,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180211132328562,2018,32.471735,-93.827963,5100,Straight,Manufacturing Or Industrial,Single,Passenger Car,No Injury
LA18_180214114843992,2018,32.497544,-93.692275,32400,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180214171053384,2018,30.473856,-90.863226,29400,Straight,Business,Two or more,Van,No Injury
LA18_180215012719446,2018,29.596985,-90.7265,30100,Straight,Business,Two or more,Suv,No Injury
LA18_180215041720171,2018,32.78255,-91.894666,3300,Straight,Residential,Single,Passenger Car,No Injury
LA18_180215091915946,2018,32.527823,-93.674539,68000,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180215123148415,2018,31.736328,-93.080556,12600,Straight,Business,Single,Suv,No Injury
LA18_180216132918786,2018,32.706922,-92.945264,300,Straight,Residential,Single,Emergency Vehicle In Use,No Injury
LA18_180216174932089,2018,32.441986,-93.745603,18400,Straight,Business,Single,Passenger Car,No Injury
LA18_180216230919647,2018,32.528719,-93.702296,32900,Straight,Business,Single,Passenger Car,No Injury
LA18_180219152602833,2018,30.504313,-90.5036,22700,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180219154601156,2018,32.860922,-91.390497,640,Straight,Business,Two or more,Suv,No Injury
LA18_180220142847865,2018,30.040182,-90.467723,5400,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180220164147530,2018,29.678929,-90.812748,3800,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",Injury
LA18_180220210301263,2018,30.005099,-90.240619,36000,Straight,Business,Single,Passenger Car,No Injury
LA18_180221173814703,2018,32.396214,-91.1994,7200,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",Injury
LA18_180222143940583,2018,29.972467,-92.136001,6300,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180223020632058,2018,30.378137,-91.241,1650,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180224201214076,2018,32.476528,-93.794634,8800,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180225111833147,2018,29.908504,-90.143498,6500,Straight,Business,Single,Passenger Car,No Injury
LA18_180226024135842,2018,30.529649,-92.07544,2000,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180227092151885,2018,30.007609,-90.029101,33300,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180301090828155,2018,31.816969,-92.954042,4300,Straight,Open Country,Single,Truck/Trailer,No Injury
LA18_180301175739647,2018,30.227523,-93.196223,11200,Straight,Business,Single,Passenger Car,No Injury
LA18_180301181043575,2018,30.077183,-90.554604,19500,Straight,Business,Single,Suv,No Injury
LA18_180301235533674,2018,30.452581,-91.20296,4200,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180302142000453,2018,30.68817,-92.264389,9700,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180302163957286,2018,29.915142,-90.060458,7000,Straight,Residential,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180302233043859,2018,29.993793,-90.1554,131800,Straight,Business,Two or more,Suv,No Injury
LA18_180303041735604,2018,30.648531,-91.156986,410,Straight,Business,Single,Passenger Car,No Injury
LA18_180304011234113,2018,30.506004,-91.215843,20100,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180304222056703,2018,30.316468,-91.830457,8400,Curve,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180305083724977,2018,30.233433,-92.016861,8000,Straight,Business,Single,Emergency Vehicle In Use,No Injury
LA18_180305205145657,2018,30.23765,-93.261,86600,Straight,Manufacturing Or Industrial,Single,Passenger Car,No Injury
LA18_180306080329037,2018,29.598637,-90.712463,32300,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180306085523814,2018,30.282887,-91.225672,6900,Other,Business,Two or more,Passenger Car,No Injury
LA18_180306163915848,2018,29.897686,-90.142524,63000,Curve,Business,Two or more,Passenger Car,No Injury
LA18_180308170623123,2018,30.213517,-92.373062,7700,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180309101248389,2018,29.953463,-90.08262,66800,Straight,Other,Two or more,Passenger Car,No Injury
LA18_180309115502722,2018,29.974335,-92.137882,7300,Straight,Business,Single,Suv,No Injury
LA18_180309171621987,2018,30.285811,-91.209673,6900,Other,Other,Two or more,Other,No Injury
LA18_180310194705126,2018,30.322242,-92.045273,15400,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180310215436888,2018,30.504249,-90.581258,7300,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180311105452189,2018,30.24993,-90.9237,21400,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180311151459129,2018,30.24143,-92.663352,16200,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180311221249421,2018,30.168707,-93.249241,27400,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180314085213891,2018,29.946083,-91.027302,2300,Straight,Other,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180314205229344,2018,30.269405,-90.920846,5500,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180315060902086,2018,31.820909,-93.030693,5300,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180315080431773,2018,32.791719,-93.054601,6900,Straight,Business,Two or more,Truck/Trailer,No Injury
LA18_180316114047231,2018,29.86847,-91.636605,22600,Straight,Residential,Two or more,Other,No Injury
LA18_180316123236993,2018,29.871141,-89.894245,10300,Curve,Business,Single,Other,No Injury
LA18_180316173301482,2018,29.964056,-90.1851,68900,Straight,Business,Single,Suv,No Injury
LA18_180318092138824,2018,32.205797,-93.708552,6700,Straight,Open Country,Single,Truck/Trailer,No Injury
LA18_180318151419095,2018,30.696552,-92.281166,1410,Straight,Residential,Two or more,Passenger Car,No Injury
LA18_180318205501980,2018,30.314665,-91.83173,8400,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180320044352306,2018,30.211088,-92.010675,21400,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180320072640754,2018,30.18649,-92.066005,36400,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180320125552723,2018,30.233948,-92.9969,3200,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180321180441992,2018,30.196274,-93.19681,51100,Straight,Business,Single,Suv,No Injury
LA18_180321211645324,2018,30.125535,-91.828684,10500,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180322012519600,2018,29.967609,-90.103529,19200,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180322144219278,2018,30.371354,-90.07535,27000,Straight,Business,Single,Passenger Car,No Injury
LA18_180323122943168,2018,30.689636,-92.277114,14100,Other,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180324013832194,2018,29.967609,-90.021565,32700,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180324092000865,2018,30.010851,-93.22717,1550,Straight,Business,Single,Passenger Car,Injury
LA18_180324164039491,2018,30.035078,-91.09787,1100,Straight,Business,Two or more,Passenger Car,No Injury
LA18_180324170928166,2018,30.532019,-92.083169,23000,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180325153745531,2018,29.598674,-90.6993,8700,Straight,Business,Single,Suv,No Injury
LA18_180325194524582,2018,30.132039,-91.965172,47700,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180325200216130,2018,30.857421,-93.002332,680,Straight,Open Country,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180326123616038,2018,30.295848,-91.241076,5300,Hillcrest,Residential,Single,Other,No Injury
LA18_180326144418727,2018,29.998887,-90.060055,14500,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180326190203382,2018,32.401507,-93.780506,14000,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180327065330986,2018,29.899618,-90.112678,6500,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180327065330986,2018,29.899618,-90.112678,6500,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180327082928467,2018,30.15576,-92.141757,12000,Straight,Business,Single,Van,No Injury
LA18_180327142318017,2018,29.875343,-90.013565,33100,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180328083740653,2018,30.238061,-93.013638,5400,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180328150053343,2018,29.949535,-89.972079,27600,Straight,Business,Single,Passenger Car,No Injury
LA18_180329110730979,2018,32.525395,-93.690745,11800,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180330003330413,2018,29.907801,-89.904298,24100,Straight,Business,Single,Passenger Car,No Injury
LA18_180401182509635,2018,29.981304,-91.018853,7700,Curve,Residential,Single,Truck/Trailer,No Injury
LA18_180401191109691,2018,29.941391,-90.096079,48300,Straight,Business,Two or more,Passenger Car,No Injury
LA18_180402122344008,2018,30.224461,-92.01073,11100,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180402145106921,2018,30.509128,-90.7529,2800,Straight,Residential,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180402145106921,2018,30.509128,-90.7529,2800,Straight,Residential,Single,Passenger Car,No Injury
LA18_180403202155255,2018,30.050645,-91.041118,5000,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180404000744435,2018,29.589037,-90.711178,22200,Straight,Business,Single,Passenger Car,No Injury
LA18_180404060226428,2018,30.023584,-91.0479,2300,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180404090915294,2018,30.684433,-92.273353,5800,Straight,Residential,Single,Passenger Car,No Injury
LA18_180405113057269,2018,29.987896,-91.837009,19900,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180405124957761,2018,30.654052,-91.342677,710,Straight,Residential,Single,Truck/Trailer,No Injury
LA18_180405165942730,2018,30.054298,-90.463152,2500,Straight,Business,Single,Passenger Car,No Injury
LA18_180405173002412,2018,30.294482,-91.238939,920,Straight,Business,Two or more,Passenger Car,No Injury
LA18_180406142431952,2018,30.79098,-89.8612,12100,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180406160053935,2018,32.431752,-93.712,47400,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180407034409055,2018,29.977859,-92.112945,6100,Straight,Business,Two or more,Passenger Car,No Injury
LA18_180407052053852,2018,32.530679,-93.719454,37200,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180408210041678,2018,29.944739,-90.113511,25500,Other,Business,Single,Passenger Car,No Injury
LA18_180409094005709,2018,32.525242,-93.758785,4000,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",Injury
LA18_180409160859836,2018,30.212983,-92.372884,7700,Straight,Business,Single,Passenger Car,No Injury
LA18_180409190928425,2018,30.198142,-93.587358,2600,Straight,Other,Single,Passenger Car,No Injury
LA18_180410192856490,2018,29.964204,-90.088447,31100,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180411173651879,2018,32.472596,-93.671805,23400,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180412095605017,2018,30.680221,-92.275515,7400,Straight,Business,Two or more,Passenger Car,No Injury
LA18_180412130843171,2018,29.962123,-90.090495,31100,Straight,Business,Single,Suv,No Injury
LA18_180412163226514,2018,30.485509,-90.887847,14000,Straight,Business,Single,Passenger Car,No Injury
LA18_180413125732314,2018,32.528575,-93.702154,32900,Straight,Business,Single,Passenger Car,No Injury
LA18_180413183524136,2018,29.973618,-90.057,24400,Straight,Business,Single,Passenger Car,Injury
LA18_180413232053927,2018,29.982826,-90.259673,23100,Straight,Business,Single,Passenger Car,No Injury
LA18_180414212200357,2018,30.558745,-91.133936,5500,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180415032107083,2018,30.846537,-90.153537,4800,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180416025920946,2018,29.942081,-89.963875,29900,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180416073007671,2018,29.977433,-90.154603,12400,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180416093121238,2018,30.835796,-90.152218,4400,Straight,Business,Two or more,Truck/Trailer,No Injury
LA18_180416205717477,2018,29.930549,-90.0418,7800,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180416221200944,2018,29.893399,-90.1192,63000,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180417010742657,2018,30.092857,-90.992519,3700,Straight,Residential,Two or more,Passenger Car,No Injury
LA18_180417132628819,2018,32.532375,-93.676192,19200,Straight,Manufacturing Or Industrial,Single,"Lt. Truck (P.U., Etc.)",Injury
LA18_180417163101612,2018,32.483049,-93.711114,32400,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180417194923360,2018,NA,NA,0,Straight,Other,Two or more,Passenger Car,No Injury
LA18_180418175314395,2018,30.08094,-91.990602,5000,Straight,Residential,Single,Suv,No Injury
LA18_180419082210886,2018,32.525808,-92.65253,2800,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180420060632728,2018,32.547746,-92.611385,13100,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180421184924722,2018,31.762639,-93.085907,6900,Straight,Business,Single,Passenger Car,No Injury
LA18_180423131245151,2018,32.524579,-93.759489,4000,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180424045058943,2018,30.312823,-91.833046,8400,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180424093927486,2018,29.914215,-90.34266,23200,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180425024156116,2018,29.983177,-90.0547,105700,Curve,Business,Single,Passenger Car,No Injury
LA18_180425115928155,2018,32.82014,-93.630696,430,Straight,Residential,Single,Truck/Trailer,No Injury
LA18_180426211805470,2018,30.254466,-93.013812,5400,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180428031348259,2018,32.530873,-92.646603,3600,Straight,Residential,Single,Passenger Car,No Injury
LA18_180428073055748,2018,31.138192,-92.058818,8700,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180429182202112,2018,29.943107,-90.075822,176900,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180430043653296,2018,29.9733,-90.057,24400,Straight,Business,Single,Other,No Injury
LA18_180501085602248,2018,30.172467,-91.154985,1000,Straight,Residential,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180501110018317,2018,31.90645,-93.170999,270,Straight,Open Country,Single,Truck/Trailer,No Injury
LA18_180501160739199,2018,32.037694,-93.7015,11800,Straight,Manufacturing Or Industrial,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180501181650035,2018,32.43015,-93.715287,47400,Straight,Business,Two or more,Passenger Car,No Injury
LA18_180501192359266,2018,30.169303,-91.156983,1000,Straight,Open Country,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180501205059170,2018,32.532319,-93.705374,33400,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180502083509610,2018,30.047837,-90.688836,5100,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180502084904005,2018,30.689893,-92.277718,14100,Other,Business,Single,Suv,No Injury
LA18_180502163156185,2018,30.585652,-90.997106,8300,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180502191613992,2018,29.714262,-90.5814,8200,Straight,Business,Single,Passenger Car,No Injury
LA18_180503131259546,2018,32.430726,-93.71437,47400,Straight,Business,Single,Passenger Car,No Injury
LA18_180503131542670,2018,30.046034,-90.584478,3500,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180504164158649,2018,30.689893,-92.277718,14100,Straight,Business,Single,Passenger Car,No Injury
LA18_180504220630178,2018,32.518411,-93.707415,11800,Straight,Business,Single,Van,No Injury
LA18_180504230104708,2018,32.52662,-93.72882,13000,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180506065443675,2018,29.959491,-92.022925,4200,Straight,Residential,Two or more,Suv,No Injury
LA18_180506074259068,2018,31.751729,-93.108147,16900,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180506080847442,2018,30.284747,-89.747794,20800,Straight,Business,Two or more,Suv,No Injury
LA18_180506201541515,2018,29.990874,-90.058428,29900,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180506203133153,2018,30.846782,-93.29103,15500,Straight,Business,Two or more,Suv,No Injury
LA18_180507202502429,2018,30.21048,-92.092153,7800,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180508053342912,2018,32.402074,-93.79315,14000,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180508053833675,2018,32.402155,-93.831911,14000,Straight,Other,Single,Passenger Car,No Injury
LA18_180508134253763,2018,32.784098,-91.920653,340,Straight,Residential,Single,Van,No Injury
LA18_180508140241792,2018,29.99815,-92.285482,2300,Straight,Business,Two or more,Van,No Injury
LA18_180508173919012,2018,31.938018,-91.28449,490,Straight,Open Country,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180509040754524,2018,30.439828,-91.203687,101400,Straight,Manufacturing Or Industrial,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180509155455546,2018,30.458894,-91.211061,21300,Straight,Business,Single,Passenger Car,No Injury
LA18_180509170326732,2018,30.235123,-92.184692,7600,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180509202733733,2018,30.198243,-93.180114,49900,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180510052238477,2018,30.241957,-92.267429,3600,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180510123533081,2018,32.495112,-92.143325,19900,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180510155147263,2018,30.241392,-92.663352,16200,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180511080615140,2018,30.019919,-90.01368,119500,Straight,Open Country,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180511133521476,2018,32.541043,-92.615938,13100,Straight,Business,Single,Suv,No Injury
LA18_180512141812067,2018,32.441977,-93.781198,16000,Straight,Business,Two or more,Suv,No Injury
LA18_180512160449143,2018,30.072626,-90.496362,35700,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180513155638401,2018,29.194166,-90.075741,3800,Straight,Residential,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180515110856716,2018,30.045997,-90.682363,4000,Straight,Manufacturing Or Industrial,Single,Truck/Trailer,No Injury
LA18_180516125456102,2018,30.518979,-92.070013,34300,Straight,Business,Single,Suv,No Injury
LA18_180516154020739,2018,30.726411,-90.509056,3600,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180516180143556,2018,30.187234,-92.065242,36400,Straight,Business,Single,Suv,No Injury
LA18_180517152211426,2018,29.996846,-90.143378,160800,Straight,Residential,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180517190548992,2018,29.930148,-90.675949,3400,Straight,Residential,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180518132104086,2018,29.96925,-92.090156,19300,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180519034246928,2018,29.949881,-90.085728,66800,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180521121332881,2018,32.544265,-93.776108,28600,Straight,Business,Single,Passenger Car,No Injury
LA18_180521150119826,2018,29.937926,-90.191442,6100,Straight,Business,Single,Other,No Injury
LA18_180522123100399,2018,30.50079,-90.94351,12800,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180523082512707,2018,31.32237,-92.392515,18300,Straight,Business,Single,Suv,No Injury
LA18_180523212713192,2018,32.446941,-93.910107,3400,Other,Residential,Single,Passenger Car,No Injury
LA18_180524151943094,2018,32.542571,-93.629951,58900,Straight,Other,Single,Suv,No Injury
LA18_180525104554640,2018,30.474999,-91.201777,630,Straight,Manufacturing Or Industrial,Single,Truck/Trailer,No Injury
LA18_180525202505789,2018,32.447663,-93.979261,48700,Curve,Open Country,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180525205239858,2018,29.971084,-90.067413,139700,Straight,Business,Single,Suv,No Injury
LA18_180527081136084,2018,30.069222,-90.485041,35700,Straight,Business,Single,Passenger Car,No Injury
LA18_180527094405550,2018,29.909403,-90.145,4800,Straight,Business,Single,Suv,No Injury
LA18_180527112515134,2018,30.285091,-89.747545,82200,Straight,Business,Two or more,Passenger Car,No Injury
LA18_180527122017131,2018,29.968654,-90.0489,22800,Straight,Business,Two or more,Passenger Car,No Injury
LA18_180527185811164,2018,29.996386,-91.8254,11200,Straight,Business,Single,Passenger Car,No Injury
LA18_180528163742026,2018,29.972943,-92.135883,6300,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180529011823569,2018,31.137123,-92.0564,3400,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180529021032894,2018,30.273616,-91.899289,8500,Straight,Business,Single,Passenger Car,No Injury
LA18_180531105444980,2018,29.568612,-90.381724,4700,Straight,Business,Two or more,Truck/Trailer,No Injury
LA18_180531125429598,2018,30.140733,-91.946305,6600,Straight,Business,Single,Truck/Trailer,No Injury
